State,Source,Cases,UpdateDTS
California,Cattle,28,2024-11-27T18:23:33.609192Z
Colorado,Cattle,1,2024-11-27T18:23:33.609192Z
Michigan,Cattle,2,2024-11-27T18:23:33.609192Z
Missouri,Cattle,0,2024-11-27T18:23:33.609192Z
Oregon,Cattle,0,2024-11-27T18:23:33.609192Z
Texas,Cattle,1,2024-11-27T18:23:33.609192Z
Washington,Cattle,0,2024-11-27T18:23:33.609192Z
Source Total,Cattle,32,2024-11-27T18:23:33.609192Z
California,Poultry,0,2024-11-27T18:23:33.609192Z
Colorado,Poultry,9,2024-11-27T18:23:33.609192Z
Michigan,Poultry,0,2024-11-27T18:23:33.609192Z
Missouri,Poultry,0,2024-11-27T18:23:33.609192Z
Oregon,Poultry,1,2024-11-27T18:23:33.609192Z
Texas,Poultry,0,2024-11-27T18:23:33.609192Z
Washington,Poultry,11,2024-11-27T18:23:33.609192Z
Source Total,Poultry,21,2024-11-27T18:23:33.609192Z
California,Unknown,1,2024-11-27T18:23:33.609192Z
Colorado,Unknown,0,2024-11-27T18:23:33.609192Z
Michigan,Unknown,0,2024-11-27T18:23:33.609192Z
Missouri,Unknown,1,2024-11-27T18:23:33.609192Z
Oregon,Unknown,0,2024-11-27T18:23:33.609192Z
Texas,Unknown,0,2024-11-27T18:23:33.609192Z
Washington,Unknown,0,2024-11-27T18:23:33.609192Z
Source Total,Unknown,2,2024-11-27T18:23:33.609192Z
California,State Total,29,2024-11-27T18:23:33.609192Z
Colorado,State Total,10,2024-11-27T18:23:33.609192Z
Michigan,State Total,2,2024-11-27T18:23:33.609192Z
Missouri,State Total,1,2024-11-27T18:23:33.609192Z
Oregon,State Total,1,2024-11-27T18:23:33.609192Z
Texas,State Total,1,2024-11-27T18:23:33.609192Z
Washington,State Total,11,2024-11-27T18:23:33.609192Z
Source Total,State Total,55,2024-11-27T18:23:33.609192Z
California,Cattle,28,2024-11-27T18:34:06.673341Z
Colorado,Cattle,1,2024-11-27T18:34:06.673341Z
Michigan,Cattle,2,2024-11-27T18:34:06.673341Z
Missouri,Cattle,0,2024-11-27T18:34:06.673341Z
Oregon,Cattle,0,2024-11-27T18:34:06.673341Z
Texas,Cattle,1,2024-11-27T18:34:06.673341Z
Washington,Cattle,0,2024-11-27T18:34:06.673341Z
Source Total,Cattle,32,2024-11-27T18:34:06.673341Z
California,Poultry,0,2024-11-27T18:34:06.673341Z
Colorado,Poultry,9,2024-11-27T18:34:06.673341Z
Michigan,Poultry,0,2024-11-27T18:34:06.673341Z
Missouri,Poultry,0,2024-11-27T18:34:06.673341Z
Oregon,Poultry,1,2024-11-27T18:34:06.673341Z
Texas,Poultry,0,2024-11-27T18:34:06.673341Z
Washington,Poultry,11,2024-11-27T18:34:06.673341Z
Source Total,Poultry,21,2024-11-27T18:34:06.673341Z
California,Unknown,1,2024-11-27T18:34:06.673341Z
Colorado,Unknown,0,2024-11-27T18:34:06.673341Z
Michigan,Unknown,0,2024-11-27T18:34:06.673341Z
Missouri,Unknown,1,2024-11-27T18:34:06.673341Z
Oregon,Unknown,0,2024-11-27T18:34:06.673341Z
Texas,Unknown,0,2024-11-27T18:34:06.673341Z
Washington,Unknown,0,2024-11-27T18:34:06.673341Z
Source Total,Unknown,2,2024-11-27T18:34:06.673341Z
California,State Total,29,2024-11-27T18:34:06.673341Z
Colorado,State Total,10,2024-11-27T18:34:06.673341Z
Michigan,State Total,2,2024-11-27T18:34:06.673341Z
Missouri,State Total,1,2024-11-27T18:34:06.673341Z
Oregon,State Total,1,2024-11-27T18:34:06.673341Z
Texas,State Total,1,2024-11-27T18:34:06.673341Z
Washington,State Total,11,2024-11-27T18:34:06.673341Z
Source Total,State Total,55,2024-11-27T18:34:06.673341Z
California,Cattle,28,2024-11-28T15:01:14.031663Z
Colorado,Cattle,1,2024-11-28T15:01:14.031663Z
Michigan,Cattle,2,2024-11-28T15:01:14.031663Z
Missouri,Cattle,0,2024-11-28T15:01:14.031663Z
Oregon,Cattle,0,2024-11-28T15:01:14.031663Z
Texas,Cattle,1,2024-11-28T15:01:14.031663Z
Washington,Cattle,0,2024-11-28T15:01:14.031663Z
Source Total,Cattle,32,2024-11-28T15:01:14.031663Z
California,Poultry,0,2024-11-28T15:01:14.031663Z
Colorado,Poultry,9,2024-11-28T15:01:14.031663Z
Michigan,Poultry,0,2024-11-28T15:01:14.031663Z
Missouri,Poultry,0,2024-11-28T15:01:14.031663Z
Oregon,Poultry,1,2024-11-28T15:01:14.031663Z
Texas,Poultry,0,2024-11-28T15:01:14.031663Z
Washington,Poultry,11,2024-11-28T15:01:14.031663Z
Source Total,Poultry,21,2024-11-28T15:01:14.031663Z
California,Unknown,1,2024-11-28T15:01:14.031663Z
Colorado,Unknown,0,2024-11-28T15:01:14.031663Z
Michigan,Unknown,0,2024-11-28T15:01:14.031663Z
Missouri,Unknown,1,2024-11-28T15:01:14.031663Z
Oregon,Unknown,0,2024-11-28T15:01:14.031663Z
Texas,Unknown,0,2024-11-28T15:01:14.031663Z
Washington,Unknown,0,2024-11-28T15:01:14.031663Z
Source Total,Unknown,2,2024-11-28T15:01:14.031663Z
California,State Total,29,2024-11-28T15:01:14.031663Z
Colorado,State Total,10,2024-11-28T15:01:14.031663Z
Michigan,State Total,2,2024-11-28T15:01:14.031663Z
Missouri,State Total,1,2024-11-28T15:01:14.031663Z
Oregon,State Total,1,2024-11-28T15:01:14.031663Z
Texas,State Total,1,2024-11-28T15:01:14.031663Z
Washington,State Total,11,2024-11-28T15:01:14.031663Z
Source Total,State Total,55,2024-11-28T15:01:14.031663Z
California,Cattle,28,2024-11-28T18:14:15.967629Z
Colorado,Cattle,1,2024-11-28T18:14:15.967629Z
Michigan,Cattle,2,2024-11-28T18:14:15.967629Z
Missouri,Cattle,0,2024-11-28T18:14:15.967629Z
Oregon,Cattle,0,2024-11-28T18:14:15.967629Z
Texas,Cattle,1,2024-11-28T18:14:15.967629Z
Washington,Cattle,0,2024-11-28T18:14:15.967629Z
Source Total,Cattle,32,2024-11-28T18:14:15.967629Z
California,Poultry,0,2024-11-28T18:14:15.967629Z
Colorado,Poultry,9,2024-11-28T18:14:15.967629Z
Michigan,Poultry,0,2024-11-28T18:14:15.967629Z
Missouri,Poultry,0,2024-11-28T18:14:15.967629Z
Oregon,Poultry,1,2024-11-28T18:14:15.967629Z
Texas,Poultry,0,2024-11-28T18:14:15.967629Z
Washington,Poultry,11,2024-11-28T18:14:15.967629Z
Source Total,Poultry,21,2024-11-28T18:14:15.967629Z
California,Unknown,1,2024-11-28T18:14:15.967629Z
Colorado,Unknown,0,2024-11-28T18:14:15.967629Z
Michigan,Unknown,0,2024-11-28T18:14:15.967629Z
Missouri,Unknown,1,2024-11-28T18:14:15.967629Z
Oregon,Unknown,0,2024-11-28T18:14:15.967629Z
Texas,Unknown,0,2024-11-28T18:14:15.967629Z
Washington,Unknown,0,2024-11-28T18:14:15.967629Z
Source Total,Unknown,2,2024-11-28T18:14:15.967629Z
California,State Total,29,2024-11-28T18:14:15.967629Z
Colorado,State Total,10,2024-11-28T18:14:15.967629Z
Michigan,State Total,2,2024-11-28T18:14:15.967629Z
Missouri,State Total,1,2024-11-28T18:14:15.967629Z
Oregon,State Total,1,2024-11-28T18:14:15.967629Z
Texas,State Total,1,2024-11-28T18:14:15.967629Z
Washington,State Total,11,2024-11-28T18:14:15.967629Z
Source Total,State Total,55,2024-11-28T18:14:15.967629Z
