Sewershed,State/Territory,County,UpdateDTS,DateDT,StatusDT
ID:188,California,Stanislaus,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:140,California,Sacramento,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:148,California,"San Francisco, San Mateo",2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:170,California,San Mateo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:176,California,Santa Clara,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:114,California,Los Angeles,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:166,California,San Luis Obispo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:173,California,Santa Clara,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:175,California,Santa Clara,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:180,California,"Santa Cruz, Monterey",2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:179,California,Santa Cruz,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:125,California,Merced,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:143,California,San Bernardino,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:147,California,"San Francisco, San Mateo",2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:162,California,San Luis Obispo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:168,California,San Mateo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:169,California,San Mateo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:174,California,Santa Clara,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:177,California,Santa Cruz,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:178,California,Santa Cruz,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:184,California,Sonoma,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:99,California,Contra Costa,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:160,California,San Luis Obispo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:161,California,San Luis Obispo,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:190,California,Ventura,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:97,California,Contra Costa,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:101,California,El Dorado,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:112,California,Los Angeles,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:113,California,Los Angeles,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:115,California,"Ventura, Los Angeles",2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:120,California,Marin,2024-11-28T15:01:14.161241Z,11/16/2024,+
ID:126,California,Mono,2024-11-28T15:01:14.161241Z,11/16/2024,+
